product_code,product_name,price,availability,description,category,brand,image_url,stock_status,scrape_status,error_message,location_Local,location_Other,location_Branch
15891.0,RWR EQUIWORMER + TAPE 32.4GM YELLOW ##,,Out of Stock,,,,,Out of Stock,success,,0,0,Sydney
15892.0,RWR EQUIWORMER + TAPE 32.4GMX60 YELLOW##,,Out of Stock,,,,,Out of Stock,success,,0,0,Sydney
15893.0,APPARENT PICADOR 350 1LT (TBD) ##,,Out of Stock,,,,,Out of Stock,success,,0,0,Sydney
15895.0,KONGS CABINET TO SUIT 320 AQUARIUM !!,,Out of Stock,,,,,Out of Stock,success,,0,0,Sydney
1590.0,AXICHEM CLASH 1LTR (CLOPYRALID) ##,,Out of Stock,,,,,Out of Stock,success,,0,0,Sydney
15905.0,DR SHOW COND SHAMPOO 10LT ##,,Out of Stock,,,,,Out of Stock,success,,0,0,Sydney
15906.0,DR SHOW MANE & TAIL DETANGLER 50ML **@@,,Out of Stock,,,,,Out of Stock,success,,0,0,Sydney
15907.0,DR SHOW MANE & TAIL DETANGLER 250ML **@@,,Out of Stock,,,,,Out of Stock,success,,0,0,Sydney
15908.0,DR SHOW MANE & TAIL DETANGLER 1LT **@@,,Out of Stock,,,,,Out of Stock,success,,0,0,Sydney
15909.0,DR SHOW MANE & TAIL DETANGLER 4LT ##,,Out of Stock,,,,,Out of Stock,success,,0,0,Sydney
1591.0,ELANCO COMPUDOSE TOOL KITS ##,,Out of Stock,,,,,Out of Stock,success,,0,0,Sydney
15910.0,DR SHOW RUG N WORKWEAR WASH 2KG ##,,Out of Stock,,,,,Out of Stock,success,,0,0,Sydney
15982.0,KELATO GREASY HEEL FUNGAL 250ML ## (TBD),,Out of Stock,,,,,Out of Stock,success,,0,0,Sydney
15983.0,KELATO GREASY HEEL FUNGAL 500ML ## (TBD),,Out of Stock,,,,,Out of Stock,success,,0,0,Sydney
15988.0,ENGEL FRIDGE MODEL MR40F **,,Out of Stock,,,,,Out of Stock,success,,0,0,Sydney
15998.0,INTERVET COOPERS EASY DOSE 25LT ##,,Out of Stock,,,,,Out of Stock,success,,0,0,Sydney
16115.0,MUSTAD CONCORDE STEEL XTRA S/C H 6 !!,,Out of Stock,,,,,Out of Stock,success,,0,0,Sydney
16116.0,MUSTAD CONCORDE STEEL XTRA S/C H 7 !!,,Out of Stock,,,,,Out of Stock,success,,0,0,Sydney
16117.0,MUSTAD CONCORDE STEEL XTRA S/C H 8 !!,,Out of Stock,,,,,Out of Stock,success,,0,0,Sydney
16120.0,KONGS GRAVEL NAT GOLD MIX 2KG ##,,Out of Stock,,,,,Out of Stock,success,,0,0,Sydney
16128.0,SYKES POTTIES GREEN OINTMENT 10KG ##,,Out of Stock,,,,,Out of Stock,success,,0,0,Sydney
1625.0,,,,,,,,,not_found,Product page not found,,,
16298.0,,,,,,,,,not_found,Product page not found,,,
16307.0,,,,,,,,,not_found,Product page not found,,,
16342.0,,,,,,,,,not_found,Product page not found,,,
16354.0,,,,,,,,,not_found,Product page not found,,,
16355.0,,,,,,,,,not_found,Product page not found,,,
16398.0,,,,,,,,,not_found,Product page not found,,,
16399.0,,,,,,,,,not_found,Product page not found,,,
16400.0,,,,,,,,,not_found,Product page not found,,,
16401.0,,,,,,,,,not_found,Product page not found,,,
16402.0,,,,,,,,,not_found,Product page not found,,,
16403.0,,,,,,,,,not_found,Product page not found,,,
16404.0,,,,,,,,,not_found,Product page not found,,,
16405.0,,,,,,,,,not_found,Product page not found,,,
16406.0,,,,,,,,,not_found,Product page not found,,,
16407.0,,,,,,,,,not_found,Product page not found,,,
16439.0,,,,,,,,,not_found,Product page not found,,,
16440.0,,,,,,,,,not_found,Product page not found,,,
16441.0,,,,,,,,,not_found,Product page not found,,,
1650.0,,,,,,,,,not_found,Product page not found,,,
16569.0,,,,,,,,,not_found,Product page not found,,,
16570.0,,,,,,,,,not_found,Product page not found,,,
16571.0,,,,,,,,,not_found,Product page not found,,,
16576.0,,,,,,,,,not_found,Product page not found,,,
16641.0,,,,,,,,,not_found,Product page not found,,,
16648.0,,,,,,,,,not_found,Product page not found,,,
16649.0,,,,,,,,,not_found,Product page not found,,,
16669.0,,,,,,,,,not_found,Product page not found,,,
16673.0,,,,,,,,,not_found,Product page not found,,,
16677.0,,,,,,,,,not_found,Product page not found,,,
16678.0,,,,,,,,,not_found,Product page not found,,,
16679.0,,,,,,,,,not_found,Product page not found,,,
1668.0,,,,,,,,,not_found,Product page not found,,,
16694.0,,,,,,,,,not_found,Product page not found,,,
16696.0,,,,,,,,,not_found,Product page not found,,,
16697.0,,,,,,,,,not_found,Product page not found,,,
16713.0,,,,,,,,,not_found,Product page not found,,,
16718.0,,,,,,,,,not_found,Product page not found,,,
16729.0,,,,,,,,,not_found,Product page not found,,,
16762.0,,,,,,,,,not_found,Product page not found,,,
16775.0,,,,,,,,,not_found,Product page not found,,,
1681.0,,,,,,,,,not_found,Product page not found,,,
16818.0,,,,,,,,,not_found,Product page not found,,,
16819.0,,,,,,,,,not_found,Product page not found,,,
1687.0,,,,,,,,,not_found,Product page not found,,,
1696.0,,,,,,,,,not_found,Product page not found,,,
1699.0,,,,,,,,,not_found,Product page not found,,,
1716.0,,,,,,,,,not_found,Product page not found,,,
1717.0,,,,,,,,,not_found,Product page not found,,,
1718.0,,,,,,,,,not_found,Product page not found,,,
1719.0,,,,,,,,,not_found,Product page not found,,,
17231.0,,,,,,,,,not_found,Product page not found,,,
17249.0,,,,,,,,,not_found,Product page not found,,,
17264.0,,,,,,,,,not_found,Product page not found,,,
17282.0,,,,,,,,,not_found,Product page not found,,,
17310.0,,,,,,,,,not_found,Product page not found,,,
17311.0,,,,,,,,,not_found,Product page not found,,,
17312.0,,,,,,,,,not_found,Product page not found,,,
17358.0,,,,,,,,,not_found,Product page not found,,,
17372.0,,,,,,,,,not_found,Product page not found,,,
17376.0,,,,,,,,,not_found,Product page not found,,,
